 -9.9499   1.0000
 -9.8633   1.0000
 -9.7767   1.0000
 -9.6902   1.0000
 -9.6036   1.0000
 -9.5170   1.0000
 -9.4304   1.0000
 -9.3437   1.0000
 -9.2571   1.0000
 -9.1705   1.0000
 -9.0838   1.0001
 -8.9972   1.0001
 -8.9105   1.0001
 -8.8238   1.0001
 -8.7372   1.0001
 -8.6505   1.0001
 -8.5638   1.0001
 -8.4770   1.0001
 -8.3903   1.0001
 -8.3036   1.0001
 -8.2168   1.0001
 -8.1300   1.0002
 -8.0432   1.0002
 -7.9564   1.0002
 -7.8696   1.0002
 -7.7828   1.0002
 -7.6960   1.0002
 -7.6091   1.0003
 -7.5222   1.0003
 -7.4353   1.0003
 -7.3484   1.0003
 -7.2615   1.0003
 -7.1745   1.0004
 -7.0875   1.0004
 -7.0005   1.0004
 -6.9135   1.0004
 -6.8265   1.0005
 -6.7394   1.0005
 -6.6523   1.0006
 -6.5652   1.0006
 -6.4781   1.0006
 -6.3909   1.0007
 -6.3037   1.0007
 -6.2165   1.0008
 -6.1292   1.0008
 -6.0419   1.0009
 -5.9546   1.0010
 -5.8672   1.0010
 -5.7798   1.0011
 -5.6924   1.0012
 -5.6049   1.0013
 -5.5174   1.0014
 -5.4298   1.0015
 -5.3422   1.0016
 -5.2545   1.0017
 -5.1667   1.0018
 -5.0790   1.0019
 -4.9911   1.0021
 -4.9032   1.0022
 -4.8152   1.0024
 -4.7272   1.0026
 -4.6391   1.0028
 -4.5509   1.0030
 -4.4626   1.0032
 -4.3742   1.0034
 -4.2857   1.0037
 -4.1972   1.0040
 -4.1085   1.0043
 -4.0197   1.0047
 -3.9307   1.0050
 -3.8417   1.0055
 -3.7524   1.0059
 -3.6631   1.0064
 -3.5735   1.0069
 -3.4838   1.0075
 -3.3938   1.0082
 -3.3037   1.0089
 -3.2133   1.0097
 -3.1226   1.0105
 -3.0316   1.0115
 -2.9403   1.0126
 -2.8486   1.0138
 -2.7566   1.0151
 -2.6640   1.0166
 -2.5710   1.0182
 -2.4773   1.0201
 -2.3830   1.0222
 -2.2879   1.0246
 -2.1919   1.0274
 -2.0949   1.0306
 -1.9965   1.0342
 -1.8967   1.0385
 -1.7949   1.0435
 -1.6909   1.0496
 -1.5838   1.0568
 -1.4726   1.0658
 -1.3559   1.0772
 -1.2308   1.0923
 -1.0919   1.1134
 -0.9245   1.1472
 -0.5688   1.2653
 -0.4706   1.3962
 -0.3946   1.5087
 -0.3291   1.6124
 -0.2698   1.7106
 -0.2147   1.8051
 -0.1626   1.8970
 -0.1125   1.9869
 -0.0642   2.0753
 -0.0171   2.1623
  0.0289   2.2483
  0.0740   2.3335
  0.1185   2.4179
  0.1624   2.5016
  0.2057   2.5848
  0.2486   2.6676
  0.2912   2.7499
  0.3334   2.8318
  0.3754   2.9134
  0.4171   2.9947
  0.4585   3.0758
  0.4998   3.1566
  0.5410   3.2371
  0.5819   3.3175
  0.6227   3.3977
  0.6634   3.4777
  0.7040   3.5576
  0.7445   3.6373
  0.7849   3.7168
  0.8252   3.7963
  0.8655   3.8756
  0.9056   3.9548
  0.9457   4.0339
  0.9857   4.1130
  1.0257   4.1919
  1.0657   4.2708
  1.1055   4.3495
  1.1454   4.4282
  1.1852   4.5069
  1.2249   4.5854
  1.2647   4.6639
  1.3043   4.7424
  1.3440   4.8207
  1.3836   4.8991
  1.4233   4.9774
  1.4628   5.0556
  1.5024   5.1338
  1.5419   5.2119
  1.5814   5.2900
  1.6209   5.3681
  1.6604   5.4461
  1.6999   5.5241
  1.7393   5.6021
  1.7788   5.6800
  1.8182   5.7579
  1.8576   5.8357
  1.8970   5.9136
  1.9363   5.9914
  1.9757   6.0692
  2.0150   6.1469
  2.0544   6.2246
  2.0937   6.3023
  2.1330   6.3800
  2.1724   6.4577
  2.2117   6.5353
  2.2510   6.6129
  2.2902   6.6905
  2.3295   6.7681
  2.3688   6.8457
  2.4081   6.9232
  2.4473   7.0007
  2.4866   7.0782
  2.5258   7.1557
  2.5650   7.2332
  2.6043   7.3107
  2.6435   7.3881
  2.6827   7.4655
  2.7219   7.5430
  2.7612   7.6204
  2.8004   7.6978
  2.8396   7.7751
  2.8788   7.8525
  2.9180   7.9299
  2.9572   8.0072
  2.9963   8.0846
  3.0355   8.1619
  3.0747   8.2392
  3.1139   8.3165
  3.1530   8.3938
  3.1922   8.4711
  3.2314   8.5484
  3.2705   8.6256
  3.3097   8.7029
  3.3489   8.7801
  3.3880   8.8574
  3.4272   8.9346
  3.4663   9.0118
  3.5055   9.0891
  3.5446   9.1663
  3.5837   9.2435

